city,role,office_name,address_line1,address_line2,locality,state,postal_code,country,phone,emails,body_text
Buffalo- HSI,,HSI Buffalo,250 Delaware Ave,Suite 814,Buffalo,NY,14202,United States,,HSIBuffaloRecruitment@hsi.dhs.gov,Phone: (716) 464-5900 Recruiting: HSIBuffaloRecruitment@hsi.dhs.gov Fax: (716) 464-6087 Area of Responsibility: New York state (minus New York City surrounding areas)
Buffalo- OPLA,,"Office of the Principal Legal Advisor, Buffalo","250 Delaware Avenue, Suite 773",,Buffalo,NY,14202,United States,(716) 464-6000,,Area of Responsibility: Northern and Western New York
Buffalo- OPE,,Buffalo - Community Relations Officer,"130 Delaware Avenue, Ste 300",,Buffalo,NY,14202,United States,,,"Area of Responsibility: Western, Central & Northern New York State"
Buffalo- ERO,,Buffalo Field Office,"250 Delaware Avenue, Floor 7",,Buffalo,NY,14202,United States,(716) 464-5800,Buffalo.Outreach@ice.dhs.gov,Area of Responsibility: Upstate New York Email: Buffalo.Outreach@ice.dhs.gov
Burlington- ERO,,Boston Field Office,1000 District Avenue,,Burlington,MA,01803,United States,(781) 359-7500,Boston.Outreach@ice.dhs.gov,"Area of Responsibility: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont Email: Boston.Outreach@ice.dhs.gov"
Centennial- OPLA,,"Office of the Principal Legal Advisor, Denver",12445 East Caley Avenue,,Centennial,CO,80111-6432,United States,(983) 212-0405,,"Area of Responsibility: Colorado, Idaho (ERO) , Montana, Utah, and Wyoming"
Chaparral- OPLA,,"Office of the Principal Legal Advisor, El Paso (Chaparral)",Trial Attorney Unit,26 McGregor Range Road,Chaparral,NM,88081,United States,(915) 834-5200,,
Charlotte- OPLA,,"Office of the Principal Legal Advisor, Atlanta (Charlotte)","5701 Executive Center Drive, Suite 300",,Charlotte,NC,28212,United States,(704) 248-9605,,
Chicago- OPLA,,"Office of the Principal Legal Advisor, Chicago",55 E. Monroe Street,Suite 1400,Chicago,IL,60603,United States,(312) 260-9513,,"Area of Responsibility: Illinois, Indiana, Kansas, Kentucky, Missouri, and Wisconsin"
Conroe- OPLA,,"Office of the Principal Legal Advisor, Houston (Conroe)",806 Hilbig Road,Suite 2-201,Conroe,TX,77301,United States,(936) 520-5870,,
Detroit- OPLA,,"Office of the Principal Legal Advisor, Detroit",Rosa Parks Federal Building,"985 Michigan Avenue, Suite 1010",Detroit,MI,48226,United States,(313) 771-6500,,Area of Responsibility: Michigan and Ohio
Dilley- OPLA,,"Office of the Principal Legal Advisor, San Antonio (Dilley)",300 El Rancho Way,,Dilley,TX,78017,United States,(830) 378-6500,,
El Paso- OPLA,,"Office of the Principal Legal Advisor, El Paso","11541 Montana Avenue, Suite O",,El Paso,TX,79936,United States,(915) 856-2316,,Area of Responsibility: West Texas and New Mexico
Elizabeth- OPLA,,"Office of the Principal Legal Advisor, Newark (Elizabeth)","625 Evans Street, Room 135",,Elizabeth,NJ,07201,United States,(908) 282-5755,,
Eloy- OPLA,,"Office of the Principal Legal Advisor, Phoenix (Eloy)",1705 East Hanna Road,,Eloy,AZ,85131,United States,(520) 464-3032,,
Florence- OPLA,,"Office of the Principal Legal Advisor, Phoenix (Florence)",3250 N. Pinal Parkway Avenue,,Florence,AZ,85132,United States,(520) 868-3310,,
Fairfax- OPR,,Special Agent in Charge – East,,,Fairfax,VA,22030,United States,(703) 877-1510,,"Serving the following states and territories: ME, VT, NH, MA, CT, RI, NY, NJ, PA, MD, DE, VA, WV, NC, SC, GA, FL, DC, PR, USVI"
Phoenix- OPR,,Special Agent in Charge – West,,,Phoenix,AZ,85004,United States,(602) 595-8212,,"Serving the following states and territories: AS, AK, AZ, CA, GU, HI, ID, MT, NV, OR, UT, WA, WY"
San Antonio- OPR,,Special Agent in Charge – Central,,,San Antonio,TX,78216,United States,(210) 366-5800,,"Serving the following states: AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, ND, NE, NM, OH, OK, SD, TN, TX, WI"
Washington- OPR,,ICE OPR Integrity Coordination Center,"500 12th Street SW, Suite 1049",Mailstop 5099,Washington,DC,20536-5005,United States,,ICEOPRIntake@ice.dhs.gov;ICE-Personnel-Security@ice.dhs.gov,"ICE OPR can be reached via the Integrity Coordination Center (ICC) at 1-833-4ICE-OPR, or by email at ICEOPRIntake@ice.dhs.gov . ICE OPR Personnel Security Unit Email: ICE-Personnel-Security@ice.dhs.gov"
Burlington- OPE,,Boston - Community Relations Officer,1000 District Avenue,,Burlington,MA,01803,United States,,,"Area of Responsibility: Massachusetts, Maine, Vermont, Connecticut, Rhode Island, New Hampshire"
Centennial- OPE,,Denver - Community Relations Officer,12445 E. Caley Ave,,Centennial,CO,80111,United States,,,"Area of Responsibility: Colorado, Utah, Idaho, Montana and Wyoming"
Chantilly- OPE,,Washington – Community Relations Officer,14797 Murdock Street,Mail Stop 5216,Chantilly,VA,20598-5216,United States,,,Area of Responsibility: District of Columbia and Virginia
Chicago- OPE,,Chicago - Community Relations Officer,101 W Ida B. Wells Parkway,,Chicago,IL,60605,United States,,,"Area of Responsibility: Illinois, Kansas, Indiana, Kentucky, Missouri, Wisconsin"
Dallas- OPE,,Dallas - Community Relations Officer,8101 N. Stemmons Freeway,,Dallas,TX,75247,United States,,,Area of Responsibility: North Texas and Oklahoma
Detroit- OPE,,Detroit - Community Relations Officer,"477 Michigan Avenue, Ste 1850",,Detroit,MI,48226,United States,,,Area of Responsibility: Michigan and Ohio
El Paso- OPE,,El Paso - Community Relations Officer,11541 Montana Avenue,,El Paso,TX,79925,United States,,,Area of Responsibility: West Texas and New Mexico
Fort Snelling- OPE,,St. Paul - Community Relations Officer,"1 Federal Drive, Ste 1340",,Fort Snelling,MN,55111,United States,,,"Area of Responsibility: Minnesota, Iowa, Nebraska, South Dakota, North Dakota"
Harlingen- OPE,,Harlingen - Community Relations Officer,1717 Zoy Street,,Harlingen,TX,78552,United States,,,Area of Responsibility: Harlingen
Houston- OPE,,Houston - Community Relations Officer,4141 N. Sam Houston Parkway East #300,,Houston,TX,77032,United States,,,"Area of Responsibility: Houston and Gulf Coast to include Beaumont to Galveston and Corpus Christi, Texas"
Long Beach- OPE,,Los Angeles - Community Relations Officer,"501 West Ocean Boulevard, Ste 7200",,Long Beach,CA,90802,United States,,,"Area of Responsibility: Los Angeles, Orange, Riverside, San Bernardino, Ventura and Clark California"
Miami- OPE,,Miami - Community Relations Officer,11226 NW 20th Street,,Miami,FL,33172,United States,,,Area of Responsibility: South Florida
New Orleans- OPE,,New Orleans - Community Relations Officer,"1250 Poydras Street, Ste 2200",,New Orleans,LA,70113,United States,,,"Area of Responsibility: Louisiana, Tennessee, Alabama, Arkansas, Mississippi"
New York- OPE,,New York - Community Relations Officer,601 W. 26th Street 7th Floor,,New York,NY,10001,United States,,,Area of Responsibility: Eastern New York and Long Island
Newark- OPE,,Newark - Community Relations Officer,970 Broad Street,,Newark,NJ,07102,United States,,,Area of Responsibility: New Jersey
Philadelphia- OPE,,Philadelphia - Community Relations Officer,"220 Chestnut Street, Ste 200",,Philadelphia,PA,19106,United States,,,"Area of Responsibility: Pennsylvania, Delaware, West Virginia"
Phoenix- OPE,,Phoenix - Community Relations Officer,"4041 North Central Ave, Ste 1650",,Phoenix,AZ,85012,United States,,,Area of Responsibility: Arizona
Centennial- ERO,,Denver Field Office,12445 E. Caley Avenue,,Centennial,CO,80111,United States,(720) 873-2899,Denver.Outreach@ice.dhs.gov,"Area of Responsibility: Colorado, Wyoming Email: Denver.Outreach@ice.dhs.gov"
Chantilly- ERO,,Washington Field Office,14797 Murdock Street,Mail Stop 5216,Chantilly,VA,20598-5216,United States,(703) 633-2100,Washington.Outreach@ice.dhs.gov,Area of Responsibility: District of Columbia and Virginia Email: Washington.Outreach@ice.dhs.gov
Chicago- ERO,,Chicago Field Office,101 W Ida B Wells Drive,Suite 4000,Chicago,IL,60605,United States,(872) 351-3990,Chicago.Outreach@ice.dhs.gov,"Area of Responsibility: Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas Email: Chicago.Outreach@ice.dhs.gov"
Dallas- ERO,,Dallas Field Office,8101 N. Stemmons Frwy,,Dallas,TX,75247,United States,(972) 367-2200,Dallas.Outreach@ice.dhs.gov,"Area of Responsibility: North Texas, Oklahoma Email: Dallas.Outreach@ice.dhs.gov"
Detroit- ERO,,Detroit Field Office,985 Michigan Avenue,Suite 207,Detroit,MI,48226,United States,(313) 771-6601,Detroit.Outreach@ice.dhs.gov,"Area of Responsibility: Michigan, Ohio Email: Detroit.Outreach@ice.dhs.gov"
El Paso- ERO,,El Paso Field Office,11541 Montana Ave,Suite E,El Paso,TX,79936,United States,(915) 225-1901,ElPaso.Outreach@ice.dhs.gov,"Area of Responsibility: West Texas, New Mexico Email: ElPaso.Outreach@ice.dhs.gov"
Fort Snelling- ERO,,St Paul Field Office,1 Federal Drive,Suite 1601,Fort Snelling,MN,55111,United States,(612) 843-8600,StPaul.Outreach@ice.dhs.gov,"For aliens, please call: (402) 536-4935 Area of Responsibility: Iowa, Minnesota, Nebraska, North Dakota, South Dakota Email: StPaul.Outreach@ice.dhs.gov"
Harlingen- ERO,,Harlingen Field Office,1717 Zoy Street,,Harlingen,TX,78552,United States,(956) 389-7884,Harlingen.Outreach@ice.dhs.gov,Area of Responsibility: South Texas Email: Harlingen.Outreach@ice.dhs.gov
Houston- ERO,,Houston Field Office,126 Northpoint Drive,,Houston,TX,77060,United States,(281) 774-4816,Houston.Outreach@ice.dhs.gov,Area of Responsibility: Southeast Texas Email: Houston.Outreach@ice.dhs.gov
Los Angeles- ERO,,Los Angeles Field Office,300 North Los Angeles St.,Room 7631,Los Angeles,CA,90012,United States,(213) 830-7911,LosAngeles.Outreach@ice.dhs.gov,"Area of Responsibility: Los Angeles Metropolitan Area (Counties of Los Angeles, Orange, Riverside, San Bernardino), and Central Coast (Counties of Ventura, Santa Barbara and San Luis Obispo) Email: LosAngeles.Outreach@ice.dhs.gov"
Miramar- ERO,,Miramar Sub Office,2805 SW 145th Ave,,Miramar,FL,33027,United States,(954) 843-5800,Miami.Outreach@ice.dhs.gov,"Area of Responsibility: Florida, Puerto Rico, U.S. Virgin Islands Email: Miami.Outreach@ice.dhs.gov"
New York- ERO,,New York City Field Office,26 Federal Plaza,"9th Floor, Suite 9-110",New York,NY,10278,United States,(212) 436-9315,NewYork.Outreach@ice.dhs.gov,"Area of Responsibility: The five boroughs (counties of NYC) and the following counties: Duchess, Nassau, Putnam, Suffolk, Sullivan, Orange, Rockland, Ulster, and Westchester Email: NewYork.Outreach@ice.dhs.gov"
Newark- ERO,,Newark Field Office,970 Broad St. 11th Floor,,Newark,NJ,07102,United States,(862) 445-9200,Newark.Outreach@ice.dhs.gov,Area of Responsibility: New Jersey Email: Newark.Outreach@ice.dhs.gov
Philadelphia- ERO,,Philadelphia Field Office,114 North 8th Street,,Philadelphia,PA,19107,United States,(215) 656-7164,Philadelphia.Outreach@ice.dhs.gov,"Area of Responsibility: Delaware, Pennsylvania, West Virginia Email: Philadelphia.Outreach@ice.dhs.gov"
Phoenix- ERO,,Phoenix Field Office,2035 N. Central Avenue,,Phoenix,AZ,85004,United States,(602) 257-5900,Phoenix.Outreach@ice.dhs.gov,Area of Responsibility: Arizona Email: Phoenix.Outreach@ice.dhs.gov
San Antonio- ERO,,San Antonio Field Office,1777 NE Loop 410,Floor 15,San Antonio,TX,78217,United States,(210) 283-4750,SanAntonio.Outreach@ice.dhs.gov,Area of Responsibility: Central Texas Email: SanAntonio.Outreach@ice.dhs.gov
Charlotte- HSI,,HSI Charlotte,3700 Arco Corporate Drive,Suite 300,Charlotte,NC,28273,United States,,HSICharlotteRecruitment@hsi.dhs.gov,"Phone: (704) 679-6140 Recruiting: HSICharlotteRecruitment@hsi.dhs.gov Fax: (704) 679-6143 Area of Responsibility: North Carolina, South Carolina"
Detroit- HSI,,HSI Detroit,477 Michigan Avenue,Suite 1850,Detroit,MI,48226,United States,,HSIDetroitRecruitment@hsi.dhs.gov,"Phone: (313) 226-0500 Recruiting: HSIDetroitRecruitment@hsi.dhs.gov Fax: (313) 226-6282 Area of Responsibility: Michigan, Ohio"
El Paso- HSI,,HSI El Paso,11541 Montana Avenue,Suite H,El Paso,TX,79936,United States,,HSIElPasoRecruitment@hsi.dhs.gov,"Phone: (915) 856-2315 Recruiting: HSIElPasoRecruitment@hsi.dhs.gov Fax: (915) 857-6083 Area of Responsibility: New Mexico, northwest Texas"
Fort Snelling- HSI,,HSI Minneapolis/St. Paul,1 Federal Drive,Suite 1340,Fort Snelling,MN,55111,United States,,HSIStPaulRecruitment@hsi.dhs.gov,"Phone: (612) 843-8800 Recruiting: HSIStPaulRecruitment@hsi.dhs.gov Fax: (612) 843-8921 Area of Responsibility: Minnesota, North Dakota, South Dakota"
Greenwood Village- HSI,,HSI Denver,5445 DTC Pkwy,Suite 600,Greenwood Village,CO,80111,United States,,HSIDenverRecruitment@hsi.dhs.gov,"Phone: (303) 721-3000 Recruiting: HSIDenverRecruitment@hsi.dhs.gov Fax: (303) 721-3003 Area of Responsibility: Colorado, Montana, Wyoming"
Honolulu- HSI,,HSI Honolulu,595 Ala Moana Boulevard,,Honolulu,HI,96813,United States,,HSIHonoluluRecruitment@hsi.dhs.gov,"Phone: (808) 529-1900 Recruiting: HSIHonoluluRecruitment@hsi.dhs.gov Fax: (808) 532-4690 Area of Responsibility: Guam, Hawaii, Northern Mariana Islands"
Irving- HSI,,HSI Dallas,125 E. John Carpenter Freeway,Suite 800,Irving,TX,75062,United States,,HSIDallasRecruitment@hsi.dhs.gov,"Phone: (972) 444-7300 Recruiting: HSIDallasRecruitment@hsi.dhs.gov Fax: (972) 444-7461 Area of Responsibility: Oklahoma, northern Texas"
Kansas City- HSI,,HSI Kansas City,4100 N Mulberry Drive,Suite 225,Kansas City,MO,64116,United States,,HSIKansasCityRecruitment@hsi.dhs.gov,"Phone: (816) 584-1054 Recruiting: HSIKansasCityRecruitment@hsi.dhs.gov Fax: (816) 584-1976 Area of Responsibility: Iowa, Kansas, Missouri, Nebraska"
Las Vegas- HSI,,HSI Las Vegas,501 Las Vegas Boulevard South,Suite 536,Las Vegas,NV,89101,United States,,HSILasVegasRecruitment@hsi.dhs.gov,"Phone: (702) 388-6858 Recruiting: HSILasVegasRecruitment@hsi.dhs.gov Fax: (702) 388-6740 Area of Responsibility: Nevada, Utah"
Lombard- HSI,,HSI Chicago,747 E. 22nd Street,Suite 300,Lombard,IL,60148,United States,,HSIChicagoRecruitment@hsi.dhs.gov,"Phone: (630) 458-7400 Recruiting: HSIChicagoRecruitment@hsi.dhs.gov Area of Responsibility: Illinois, Indiana, Wisconsin"
Los Angeles- HSI,,HSI Los Angeles,300 N. Los Angeles Street,Room 6075,Los Angeles,CA,90012,United States,,HSILosAngelesRecruitment@hsi.dhs.gov,Phone: (213) 830-5599 Recruiting: HSILosAngelesRecruitment@hsi.dhs.gov Area of Responsibility: Los Angeles and central California
Miami- HSI,,Miami (HSI Caribbean),"ICE Attaché, Caribbean",11226 NW 20th Street,Miami,FL,33172,United States,(305) 716-3019,,"Mailing Address: ICE HSI Caribbean 11226 NW 20th Street Miami, FL 33172 (+0 EST)"
Miami- HSI,,HSI Miami,11226 Northwest 20th Street,,Miami,FL,33172,United States,,HSIMiamiRecruitment@hsi.dhs.gov,Phone: (305) 597-6000 Recruiting: HSIMiamiRecruitment@hsi.dhs.gov Fax: (305) 597-6227 Area of Responsibility: Eastern and southern Florida
Nashville- HSI,,HSI Nashville,501 Brick Church Park Drive,,Nashville,TN,37207,United States,,HSINashvilleRecruitment@hsi.dhs.gov,"Phone: (615) 664-5500 Recruiting: HSINashvilleRecruitment@hsi.dhs.gov Fax: (615) 650-4112 Area of Responsibility: Kentucky, Tennessee"
New Orleans- HSI,,HSI New Orleans,1250 Poydras Street,Suite 2200,New Orleans,LA,70113,United States,,HSINewOrleansRecruitment@hsi.dhs.gov,"Phone: (504) 310-8800 Recruiting: HSINewOrleansRecruitment@hsi.dhs.gov Fax: (504) 310-8900 Area of Responsibility: Arkansas, Louisiana, Mississippi"
New York- HSI,,HSI New York,601 W. 26th Street,Room 726,New York,NY,10001,United States,,HSINewYorkRecruitment@hsi.dhs.gov,Phone: (646) 230-3200 Recruiting: HSINewYorkRecruitment@hsi.dhs.gov Fax: (646) 230-3255 Area of Responsibility: New York City
